# Hour_00,Hour_01,Hour_02,Hour_03,Hour_04,Hour_05,Hour_06,Hour_07,Hour_08,Hour_09,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23
0.60,0.58,0.57,0.56,0.56,0.57,0.60,0.65,2.40,2.80,2.60,0.90,0.85,0.82,0.80,0.78,0.76,0.74,0.72,3.20,3.80,3.50,3.00,0.90
0.55,0.54,0.53,0.52,0.52,0.53,0.60,0.70,4.50,5.20,4.80,1.10,1.00,0.95,0.90,0.85,0.82,0.80,0.78,6.00,7.50,6.80,5.90,1.20
0.48,0.47,0.46,0.45,0.45,0.46,0.50,0.55,1.80,2.00,1.90,0.75,0.80,0.85,0.90,0.95,1.00,1.05,1.10,2.50,3.00,2.80,2.40,0.70
1.20,1.18,1.17,1.16,1.15,1.16,1.20,1.30,3.50,4.20,3.90,1.80,1.85,1.90,1.95,1.90,1.85,1.80,1.75,5.00,6.20,5.80,5.10,1.60
0.30,0.29,0.28,0.28,0.27,0.27,0.28,0.30,0.90,1.10,1.00,0.45,0.50,0.48,0.46,0.44,0.42,0.40,0.38,1.40,1.60,1.50,1.30,0.35
0.25,0.24,0.24,0.23,0.23,0.24,0.25,0.26,0.40,0.42,0.41,0.30,0.30,0.29,0.28,0.28,0.27,0.27,0.26,0.45,0.48,0.46,0.44,0.25
0.15,0.14,0.14,0.13,0.13,0.14,0.15,0.16,0.18,0.19,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.18,0.19,0.18,0.17,0.15
0.70,0.68,0.67,0.66,0.65,0.66,0.70,0.75,6.00,7.20,6.80,1.50,1.40,1.30,1.20,1.10,1.00,0.95,0.90,8.50,10.00,9.20,8.00,1.80
1.50,1.48,1.47,1.46,1.45,1.46,1.50,1.60,2.80,3.20,3.00,2.10,2.15,2.10,2.05,2.00,1.95,1.90,1.85,3.60,4.20,4.00,3.50,1.60
0.35,0.34,0.34,0.33,0.33,0.34,0.35,0.36,0.55,0.60,0.58,0.42,0.41,0.40,0.39,0.38,0.37,0.36,0.36,0.65,0.70,0.68,0.64,0.35
0.16,0.15,0.15,0.14,0.14,0.15,0.16,0.17,0.19,0.20,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.19,0.20,0.19,0.18,0.16
0.90,0.88,0.87,0.86,0.85,0.86,0.90,1.00,3.80,4.50,4.20,1.60,1.55,1.50,1.45,1.40,1.35,1.30,1.25,5.50,6.50,6.00,5.20,1.10
0.18,0.17,0.17,0.16,0.16,0.17,0.18,0.19,0.21,0.22,0.21,0.20,0.20,0.19,0.19,0.18,0.18,0.17,0.17,0.22,0.23,0.22,0.21,0.18
1.10,1.08,1.07,1.06,1.05,1.06,1.10,1.20,5.50,6.30,5.90,1.90,1.85,1.80,1.75,1.70,1.65,1.60,1.55,7.20,8.40,7.80,6.90,1.40
0.45,0.44,0.43,0.42,0.42,0.43,0.45,0.48,0.75,0.82,0.80,0.55,0.54,0.53,0.52,0.51,0.50,0.49,0.48,0.90,1.00,0.95,0.88,0.46
0.32,0.31,0.30,0.30,0.29,0.30,0.31,0.33,1.20,1.40,1.35,0.50,0.48,0.47,0.46,0.45,0.44,0.43,0.42,1.80,2.10,2.00,1.70,0.34
1.80,1.78,1.77,1.76,1.75,1.76,1.80,1.90,3.00,3.40,3.20,2.30,2.25,2.20,2.15,2.10,2.05,2.00,1.95,4.00,4.60,4.30,3.80,1.90
0.14,0.13,0.13,0.12,0.12,0.13,0.14,0.15,0.17,0.18,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.13,0.13,0.17,0.18,0.17,0.16,0.14
0.28,0.27,0.27,0.26,0.26,0.27,0.28,0.29,0.60,0.65,0.63,0.35,0.34,0.33,0.32,0.32,0.31,0.31,0.30,0.75,0.80,0.78,0.72,0.29
0.65,0.64,0.63,0.62,0.62,0.63,0.65,0.70,9.00,10.50,9.80,1.80,1.70,1.60,1.50,1.40,1.30,1.20,1.10,12.00,14.50,13.00,11.50,2.00
